code,AGR,MINING,UTIL_CONST,MANUF,TRADE_TRANSP,INFO,FIRE,PROF_OTHER,EDUC_ENT,G
V001,71.495,87.258,841.391,1324.936,2054.753,540.316,1276.846,3002.123,2601.502,2408.949
V003,196.734,263.52,731.49,1409.433,1616.8500000000001,872.176,4066.757,1071.536,748.261,744.082
T00OTOP,14.594,37.105,55.834,77.117,71.214,21.041,434.778,51.045,67.725,0.0
T00OSUB,0.0,0.0,0.0,0.0,0.101,0.0,1.432,0.025,10.137,0.0
