,2023
AGR,346.508
MINING,305.01899999999995
UTIL_CONST,1292.904
MANUF,4304.96
TRADE_TRANSP,2952.1939999999995
INFO,1029.1019999999999
FIRE,3462.9519999999993
PROF_OTHER,2314.201
EDUC_ENT,2379.563
G,1981.049
