,2023
AGR,630.332
MINING,695.589
UTIL_CONST,2937.813
MANUF,7181.984
TRADE_TRANSP,6737.8009999999995
INFO,2472.947
FIRE,9302.22
PROF_OTHER,6516.814
EDUC_ENT,5794.385
G,5145.38
