scenario,confidence,sector,direct_shock,total_impact,multiplier_effect
125-year,p5,INFO,-30.49,-52.575210822995686,-22.085210822995688
125-year,p5,FIRE,-120.23,-194.75781352791816,-74.52781352791816
125-year,p5,PROF_OTHER,-105.97,-155.38279841474736,-49.41279841474736
125-year,p5,EDUC_ENT,-81.56,-130.99292726938612,-49.43292726938611
125-year,p5,G,-74.2,-113.44352458691833,-39.243524586918326
125-year,p95,AGR,-4.89,-12.267049923895971,-7.377049923895972
125-year,p95,MINING,-0.65,-7.719768123615962,-7.069768123615962
125-year,p95,UTIL_CONST,-41.46,-72.38419111974952,-30.924191119749516
125-year,p95,MANUF,-66.88,-161.67721036285857,-94.79721036285858
125-year,p95,TRADE_TRANSP,-89.98,-172.9026116261242,-82.92261162612421
125-year,p95,INFO,-43.32,-73.4435310315824,-30.123531031582395
125-year,p95,FIRE,-161.97,-262.69199495481865,-100.72199495481865
125-year,p95,PROF_OTHER,-144.39,-211.22770472223255,-66.83770472223256
125-year,p95,EDUC_ENT,-108.94,-175.60953437034328,-66.66953437034329
125-year,p95,G,-97.12,-150.0627577846627,-52.94275778466269
200-year,mean,AGR,-5.81,-14.982793366232425,-9.172793366232426
200-year,mean,MINING,-0.67,-9.595509608475425,-8.925509608475425
200-year,mean,UTIL_CONST,-51.68,-90.78048005716497,-39.100480057164965
200-year,mean,MANUF,-85.14,-204.59507667133417,-119.45507667133417
200-year,mean,TRADE_TRANSP,-114.88,-219.8835434340358,-105.0035434340358
200-year,mean,INFO,-54.6,-92.68802406123628,-38.088024061236275
200-year,mean,FIRE,-205.88,-333.44520462191014,-127.56520462191014
200-year,mean,PROF_OTHER,-182.43,-267.0046022501331,-84.57460225013307
200-year,mean,EDUC_ENT,-138.1,-222.46788000114708,-84.36788000114709
200-year,mean,G,-120.3,-187.2059034804545,-66.90590348045451
200-year,p5,AGR,-4.82,-12.823392153797048,-8.003392153797048
200-year,p5,MINING,-0.43,-8.31384841155071,-7.88384841155071
200-year,p5,UTIL_CONST,-46.06,-80.71645098146968,-34.656450981469675
200-year,p5,MANUF,-76.41,-182.0091796244122,-105.59917962441222
200-year,p5,TRADE_TRANSP,-103.24,-196.08598813218558,-92.84598813218558
200-year,p5,INFO,-47.23,-80.73100532516074,-33.50100532516074
200-year,p5,FIRE,-181.18,-293.6818881822129,-112.5018881822129
200-year,p5,PROF_OTHER,-160.84,-235.47236867987397,-74.63236867987396
200-year,p5,EDUC_ENT,-122.38,-196.89392130826218,-74.51392130826218
200-year,p5,G,-106.96,-166.10069797193353,-59.140697971933534
200-year,p95,AGR,-6.82,-17.177888481942777,-10.357888481942776
200-year,p95,MINING,-0.92,-10.893767324483939,-9.973767324483939
200-year,p95,UTIL_CONST,-57.18,-100.7700310356244,-43.5900310356244
200-year,p95,MANUF,-94.05,-227.53508592793153,-133.48508592793155
200-year,p95,TRADE_TRANSP,-126.71,-243.9009513418362,-117.1909513418362
200-year,p95,INFO,-62.49,-105.24649397624636,-42.756493976246354
200-year,p95,FIRE,-230.0,-372.5532647825233,-142.55326478252329
200-year,p95,PROF_OTHER,-204.22,-298.78898476091246,-94.56898476091246
200-year,p95,EDUC_ENT,-153.53,-247.76796112200043,-94.23796112200043
200-year,p95,G,-133.28,-208.03032934144284,-74.75032934144284
150-year,mean,AGR,-4.66,-12.000848893451954,-7.340848893451954
150-year,mean,MINING,-0.53,-7.651588860147386,-7.121588860147385
150-year,mean,UTIL_CONST,-41.68,-72.91184422070869,-31.231844220708687
150-year,mean,MANUF,-68.22,-163.7024428328539,-95.4824428328539
150-year,mean,TRADE_TRANSP,-91.93,-175.62185662068853,-83.69185662068853
150-year,mean,INFO,-42.96,-73.22826127981966,-30.26826127981966
150-year,mean,FIRE,-163.73,-265.295488003353,-101.56548800335301
150-year,mean,PROF_OTHER,-145.1,-212.44437613044553,-67.34437613044554
150-year,mean,EDUC_ENT,-110.28,-177.5159043756644,-67.2359043756644
150-year,mean,G,-98.12,-151.47502065304286,-53.35502065304286
150-year,p5,AGR,-3.76,-10.030275907676296,-6.270275907676297
150-year,p5,MINING,-0.33,-6.4999363646327755,-6.169936364632775
150-year,p5,UTIL_CONST,-36.16,-63.320867601895415,-27.16086760189542
150-year,p5,MANUF,-60.17,-142.9645627247307,-82.79456272473071
150-year,p5,TRADE_TRANSP,-80.93,-153.50906265579624,-72.57906265579624
150-year,p5,INFO,-36.34,-62.43972778547412,-26.099727785474116
150-year,p5,FIRE,-141.48,-229.343995295422,-87.863995295422
150-year,p5,PROF_OTHER,-125.43,-183.719230430484,-58.289230430484
150-year,p5,EDUC_ENT,-95.96,-154.21290034890413,-58.252900348904134
150-year,p5,G,-85.56,-131.80445613261094,-46.244456132610935
150-year,p95,AGR,-5.56,-13.982103798582498,-8.422103798582498
150-year,p95,MINING,-0.74,-8.83118688263236,-8.09118688263236
150-year,p95,UTIL_CONST,-47.03,-82.41204796094124,-35.382047960941236
150-year,p95,MANUF,-76.47,-184.87670969807613,-108.40670969807613
150-year,p95,TRADE_TRANSP,-102.96,-197.92556861240192,-94.96556861240192
150-year,p95,INFO,-50.06,-84.62518885137825,-34.56518885137825
150-year,p95,FIRE,-185.55,-300.9219912055449,-115.37199120554487
150-year,p95,PROF_OTHER,-165.57,-242.15451744629328,-76.58451744629329
150-year,p95,EDUC_ENT,-124.45,-200.79596453219318,-76.34596453219318
150-year,p95,G,-109.98,-170.5992555885855,-60.61925558858549
250-year,mean,AGR,-6.79,-17.49721147273833,-10.70721147273833
250-year,mean,MINING,-0.79,-11.216781864392068,-10.426781864392069
250-year,mean,UTIL_CONST,-59.91,-105.56071639464959,-45.65071639464959
250-year,mean,MANUF,-99.21,-238.64463238981978,-139.4346323898198
250-year,mean,TRADE_TRANSP,-133.95,-256.6932464569968,-122.74324645699681
250-year,mean,INFO,-64.39,-108.99884646892829,-44.60884646892829
250-year,mean,FIRE,-241.09,-390.31000448542665,-149.22000448542664
250-year,mean,PROF_OTHER,-213.43,-312.35035809600413,-98.92035809600412
250-year,mean,EDUC_ENT,-161.17,-259.80161625192704,-98.63161625192706
250-year,mean,G,-138.83,-217.0148806747186,-78.18488067471858
250-year,p5,AGR,-5.71,-15.162399257947337,-9.452399257947338
250-year,p5,MINING,-0.52,-9.828775661697998,-9.308775661697998
250-year,p5,UTIL_CONST,-54.08,-94.98373981685191,-40.90373981685191
250-year,p5,MANUF,-90.02,-214.64626355022776,-124.62626355022776
250-year,p5,TRADE_TRANSP,-121.55,-231.24225772358352,-109.69225772358352
250-year,p5,INFO,-56.53,-96.20967894786169,-39.67967894786169
250-year,p5,FIRE,-214.92,-347.9963920214687,-133.0763920214687
250-year,p5,PROF_OTHER,-189.76,-277.98385325069376,-88.22385325069376
250-year,p5,EDUC_ENT,-144.52,-232.58806503688032,-88.06806503688031
250-year,p5,G,-124.99,-194.8525413772228,-69.8625413772228
250-year,p95,AGR,-7.89,-19.859345333850268,-11.969345333850267
250-year,p95,MINING,-1.06,-12.592926537643123,-11.532926537643123
250-year,p95,UTIL_CONST,-65.48,-115.86117008884587,-50.38117008884586
250-year,p95,MANUF,-108.51,-262.75206280382014,-154.24206280382015
250-year,p95,TRADE_TRANSP,-146.31,-281.9473854162041,-135.6373854162041
250-year,p95,INFO,-72.9,-122.47363959836855,-49.573639598368544
250-year,p95,FIRE,-266.87,-431.9987466881942,-165.1287466881942
250-year,p95,PROF_OTHER,-236.44,-345.9535782135272,-109.51357821352718
250-year,p95,EDUC_ENT,-177.78,-286.8734099482916,-109.09340994829162
250-year,p95,G,-152.64,-239.11191823292032,-86.47191823292033
225-year,mean,AGR,-6.32,-16.29400314071614,-9.974003140716139
225-year,mean,MINING,-0.73,-10.438678323967846,-9.708678323967845
225-year,mean,UTIL_CONST,-56.0,-98.52220631130386,-42.52220631130386
225-year,mean,MANUF,-92.52,-222.41410481039537,-129.8941048103954
225-year,mean,TRADE_TRANSP,-124.83,-239.07787491876167,-114.24787491876167
225-year,mean,INFO,-59.69,-101.17451148437031,-41.484511484370316
225-year,mean,FIRE,-224.16,-362.99674140128093,-138.83674140128093
225-year,mean,PROF_OTHER,-198.58,-290.6292502548168,-92.04925025481677
225-year,mean,EDUC_ENT,-150.13,-241.93165553992878,-91.80165553992879
225-year,mean,G,-130.03,-202.82095633813782,-72.79095633813782
225-year,p5,AGR,-5.3,-14.070959810707835,-8.770959810707836
225-year,p5,MINING,-0.48,-9.107248499076004,-8.627248499076003
225-year,p5,UTIL_CONST,-50.27,-88.20386385802045,-37.93386385802045
225-year,p5,MANUF,-83.65,-199.26562671947266,-115.61562671947266
225-year,p5,TRADE_TRANSP,-112.74,-214.32398627156053,-101.58398627156053
225-year,p5,INFO,-52.15,-88.86677278966151,-36.71677278966151
225-year,p5,FIRE,-198.61,-321.75802893493363,-123.14802893493362
225-year,p5,PROF_OTHER,-175.69,-257.37341341633396,-81.68341341633396
225-year,p5,EDUC_ENT,-133.87,-215.42626664705136,-81.55626664705136
225-year,p5,G,-116.33,-181.0651540513096,-64.7351540513096
225-year,p95,AGR,-7.38,-18.574124139906075,-11.194124139906076
225-year,p95,MINING,-0.99,-11.769498987637332,-10.779498987637332
225-year,p95,UTIL_CONST,-61.49,-108.5921778530301,-47.10217785303009
225-year,p95,MANUF,-101.53,-245.756716320827,-144.226716320827
225-year,p95,TRADE_TRANSP,-136.89,-263.617988998435,-126.72798899843502
225-year,p95,INFO,-67.92,-114.20808196571859,-46.28808196571859
225-year,p95,FIRE,-248.95,-403.15864617595327,-154.20864617595328
225-year,p95,PROF_OTHER,-220.88,-323.17701713578816,-102.29701713578817
225-year,p95,EDUC_ENT,-166.21,-268.130428729942,-101.92042872994202
225-year,p95,G,-143.53,-224.348443928244,-80.818443928244
